종목코드,종목명,종가,대비,등락률,상장시가총액
"031210","서울보증보험","34400","-550","-1.57","2401863.0"
"002380","KCC","259000","-6000","-2.26","2301596.0"
"088350","한화생명","2605","-35","-1.33","2262521.0"
"018880","한온시스템","3460","20","0.58","2348518.0"
"001440","대한전선","12130","-150","-1.22","2261606.0"
"081660","미스토홀딩스","37400","-450","-1.19","2247584.0"
"112610","씨에스윈드","48850","1050","2.20","2060073.0"
"030000","제일기획","18410","-90","-0.49","2117909.0"
"023530","롯데쇼핑","74600","-2200","-2.86","2110341.0"
"018670","SK가스","215500","-3000","-1.37","1992350.0"
"066970","엘앤에프","59500","-2700","-4.34","2160812.0"
"161890","한국콜마","82800","-700","-0.84","1954500.0"
"028670","팬오션","3635","35","0.97","1943160.0"
"051600","한전KPS","41800","1850","4.63","1881000.0"
"002790","아모레퍼시픽홀딩스","22700","-50","-0.22","1803701.0"
"020560","아시아나항공","9630","-140","-1.43","1983691.0"
"000120","CJ대한통운","79500","300","0.38","1813581.0"
"001450","현대해상","22200","-250","-1.11","1984680.0"
"062040","산일전기","62900","-200","-0.32","1915003.0"
"103140","풍산","58300","300","0.52","1633815.0"
"004170","신세계","168700","300","0.18","1627142.0"
"204320","HL만도","36100","-350","-0.96","1695152.0"
"282330","BGF리테일","99500","-1000","-1.00","1719749.0"
"294870","HDC현대산업개발","24850","-450","-1.78","1637797.0"
"361610","SK아이이테크놀로지","22250","-400","-1.77","1586371.0"
"375500","DL이앤씨","45550","2000","4.59","1762495.0"
"042670","HD현대인프라코어","8560","-210","-2.39","1649134.0"
"069620","대웅제약","142200","-700","-0.49","1647611.0"
"006040","동원산업","43700","250","0.58","1731572.0"
"006360","GS건설","19200","670","3.62","1643165.0"
"007310","오뚜기","403000","9500","2.41","1615155.0"
"008770","호텔신라","44000","-350","-0.79","1726917.0"
"012510","더존비즈온","57200","-2000","-3.38","1737895.0"
"000240","한국앤컴퍼니","16600","-140","-0.84","1575925.0"
"000990","DB하이텍","39600","200","0.51","1758184.0"
"001720","신영증권","102200","-3800","-3.58","1680168.0"
"003690","코리안리","8510","400","4.93","1657927.0"
"139130","iM금융지주","10510","-20","-0.19","1748789.0"
"103590","일진전기","28900","1250","4.52","1378108.0"
"047040","대우건설","3685","80","2.22","1531569.0"
"069960","현대백화점","65800","-800","-1.20","1488976.0"
"073240","금호타이어","4810","-20","-0.41","1381722.0"
"005850","에스엘","32000","-1050","-3.18","1486353.0"
"000080","하이트진로","19420","130","0.67","1361995.0"
"009420","한올바이오파마","26350","-250","-0.94","1376541.0"
"009970","영원무역홀딩스","106700","1500","1.43","1454918.0"
"010060","OCI홀딩스","77300","200","0.26","1454393.0"
"014680","한솔케미칼","124000","-2500","-1.98","1405564.0"
"395400","SK리츠","4950","40","0.81","1367134.0"
"006280","녹십자","123200","-1100","-0.88","1439781.0"
"457190","이수스페셜티케미컬","39150","-1650","-4.04","1182654.0"
"100090","SK오션플랜트","19700","1000","5.35","1166153.0"
"137310","에스디바이오센서","10030","-10","-0.10","1221143.0"
"267270","HD현대건설기계","71100","-800","-1.11","1259436.0"
"300720","한일시멘트","17040","-1000","-5.54","1180217.0"
"336260","두산퓨얼셀","18020","1060","6.25","1180197.0"
"003570","SNT다이내믹스","34950","1850","5.59","1162182.0"
"071970","HD현대마린엔진","39500","-200","-0.50","1339899.0"
"007070","GS리테일","13860","-240","-1.70","1158799.0"
"007340","DN오토모티브","21050","-550","-2.55","1231654.0"
"001800","오리온홀딩스","18890","40","0.21","1183372.0"
"003090","대웅","20500","150","0.74","1191911.0"
"034230","파라다이스","13190","120","0.92","1210468.0"
"484870","엠앤씨솔루션","107000","5100","5.00","979467.0"
"005300","롯데칠성","102600","-600","-0.58","952013.0"
"185750","종근당","81800","-300","-0.37","1129067.0"
"192080","더블유게임즈","51200","-900","-1.73","1100590.0"
"192400","쿠쿠홀딩스","28100","500","1.81","999297.0"
"229640","LS에코에너지","35000","-200","-0.57","1071871.0"
"280360","롯데웰푸드","113200","-2000","-1.74","1067994.0"
"298020","효성티앤씨","250500","2500","1.01","1084084.0"
"077970","STX엔진","23850","-450","-1.85","957531.0"
"085620","미래에셋생명","5510","-90","-1.61","975359.0"
"089860","롯데렌탈","30750","-150","-0.49","1116514.0"
"005440","현대지에프홀딩스","6550","350","5.65","1021173.0"
"009240","한샘","41550","-100","-0.24","977835.0"
"009450","경동나비엔","77800","100","0.13","1133436.0"
"011210","현대위아","42250","-200","-0.47","1148992.0"
"012630","HDC","19260","-390","-1.98","1150626.0"
"017960","한국카본","20400","-950","-4.45","1058932.0"
"020150","롯데에너지머티리얼즈","21000","-950","-4.33","1099675.0"
"023590","다우기술","23750","150","0.64","1065582.0"
"415640","KB발해인프라","7820","0","0.00","958306.0"
"330590","롯데리츠","3645","25","0.69","1053292.0"
"365550","ESR켄달스퀘어리츠","4600","40","0.88","980209.0"
"000500","가온전선","65600","700","1.08","1085228.0"
"001120","LX인터내셔널","27950","0","0.00","1083342.0"
"003240","태광산업","871000","4000","0.46","969771.0"
"003540","대신증권","19960","80","0.40","1013437.0"
"004490","세방전지","69500","-3400","-4.66","973000.0"
"005070","코스모신소재","33600","-1700","-4.82","1092361.0"
"108320","LX세미콘","61900","0","0.00","1006760.0"
"100840","SNT에너지","40400","3100","8.31","835504.0"
"005180","빙그레","85000","-6500","-7.10","837355.0"
"120110","코오롱인더","30500","-50","-0.16","839332.0"
"248070","솔루엠","15710","-750","-4.56","769877.0"
"268280","미원에스씨","155600","-2300","-1.46","778000.0"
"285130","SK케미칼","53200","-500","-0.93","917901.0"
"298050","HS효성첨단소재","203000","-5000","-2.40","909429.0"
"353200","대덕전자","15010","-250","-1.64","741748.0"
"030190","NICE평가정보","14480","70","0.49","861655.0"
"030610","교보증권","7290","260","3.70","830790.0"
"032350","롯데관광개발","11300","20","0.18","861017.0"
"039130","하나투어","50000","-400","-0.79","774497.0"
"049770","동원F&B","38500","400","1.05","742881.0"
"064960","SNT모티브","29950","100","0.34","794881.0"
"071320","지역난방공사","68500","4700","7.37","793144.0"
"079160","CJ CGV","4780","-50","-1.04","791474.0"
"082640","동양생명","5530","-170","-2.98","892313.0"
"006120","SK디스커버리","43200","-400","-0.92","792627.0"
"009410","태영건설","2540","-30","-1.17","746947.0"
"014820","동원시스템즈","30500","-700","-2.24","884234.0"
"000210","DL","40450","1600","4.12","847666.0"
"001530","DI동일","37100","1200","3.34","754396.0"
"001680","대상","22400","-2050","-8.38","776116.0"
"001740","SK네트웍스","4040","-20","-0.49","893963.0"
"002840","미원상사","184800","-1700","-0.91","877800.0"
"003030","세아제강지주","223500","6000","2.76","925660.0"
"003530","한화투자증권","4080","275","7.23","875355.0"
"004000","롯데정밀화학","36100","-200","-0.55","931380.0"
"004800","효성","53700","-800","-1.47","898960.0"
"114090","GKL","13160","190","1.46","814021.0"
"381970","케이카","14450","130","0.91","696231.0"
"005420","코스모화학","14350","-230","-1.58","551158.0"
"453340","현대그린푸드","16610","450","2.78","550381.0"
"456040","OCI","58600","-500","-0.85","524616.0"
"475150","SK이터닉스","18250","200","1.11","616011.0"
"097230","HJ중공업","7340","-470","-6.02","611233.0"
"145720","덴티움","63400","-200","-0.31","701764.0"
